Time_Index,Actual_VW_30cm,Predicted_VW_30cm
0,0.171,0.17286197610806803
1,0.171,0.17224211816821722
2,0.172,0.17205418979740306
3,0.171,0.1725946458342831
4,0.171,0.17211312030534656
5,0.171,0.17203636484832474
6,0.171,0.17191813930110605
7,0.171,0.17183677233038455
8,0.171,0.17195696294535398
9,0.171,0.17186854334120616
10,0.171,0.17186854334120616
11,0.171,0.17186854334120616
12,0.171,0.17186854334120616
13,0.172,0.17186854334120616
14,0.171,0.17248840128105694
15,0.172,0.17205647171202032
16,0.172,0.1725678031840277
17,0.171,0.17272592561177103
18,0.171,0.17210410260416947
19,0.171,0.17208596080822464
20,0.171,0.17188636829028447
21,0.171,0.1719251919345324
22,0.171,0.17195696294535398
23,0.171,0.17186854334120616
24,0.171,0.17186854334120616
25,0.172,0.17186854334120616
26,0.172,0.17248840128105694
27,0.172,0.17267632965187113
28,0.172,0.17275573155484186
29,0.172,0.17280532751474179
30,0.172,0.17277355650392018
31,0.172,0.17286197610806803
32,0.172,0.17286197610806803
33,0.171,0.17286197610806803
34,0.171,0.17224211816821722
35,0.172,0.17205418979740306
36,0.172,0.1725946458342831
37,0.171,0.17273297824519737
38,0.171,0.1722242932191389
39,0.171,0.17199754120407681
40,0.171,0.17188636829028447
41,0.171,0.1719251919345324
42,0.171,0.17195696294535398
43,0.171,0.17186854334120616
44,0.172,0.17186854334120616
45,0.171,0.17248840128105694
46,0.172,0.17205647171202032
47,0.172,0.1725678031840277
48,0.171,0.17272592561177103
49,0.17,0.17210410260416947
50,0.17,0.17146610286837385
51,0.17,0.1710785819796195
52,0.17,0.17103800372089664
53,0.17,0.17102017877181833
54,0.171,0.17096353017849208
55,0.171,0.17149496851419507
56,0.171,0.17168289688500926
57,0.171,0.17176229878798002
58,0.171,0.17181189474787995
59,0.17,0.17178012373705834
60,0.171,0.17124868540135535
61,0.171,0.17168061497039197
62,0.171,0.17178914143823537
63,0.17,0.17181894738130624
64,0.17,0.17128045641217696
65,0.17,0.17097233742639337
66,0.17,0.1709813551275704
67,0.17,0.1709317591676705
68,0.17,0.17096353017849208
69,0.171,0.1708751105743443
70,0.17,0.17149496851419507
71,0.171,0.17106303894515845
72,0.171,0.17157437041716586
73,0.171,0.17173249284490916
74,0.171,0.17173052777715844
75,0.171,0.17190031435202774
76,0.171,0.17178012373705834
77,0.171,0.17186854334120616
78,0.171,0.17186854334120616
79,0.171,0.17186854334120616
80,0.171,0.17186854334120616
81,0.171,0.17186854334120616
82,0.171,0.17186854334120616
83,0.171,0.17186854334120616
84,0.17,0.17186854334120616
85,0.17,0.17124868540135535
86,0.171,0.1710607570305412
87,0.171,0.1716012130674212
88,0.17,0.17173954547833548
89,0.171,0.17123086045227703
90,0.172,0.17162396637706576
91,0.17,0.17232057977393836
92,0.172,0.17138701781226962
93,0.171,0.17241164582403512
94,0.17,0.17193824616480166
95,0.17,0.1712467203336046
96,0.171,0.1712305436054105
97,0.17,0.1714810224524518
98,0.171,0.17120810714263252
99,0.171,0.17166279002131365
100,0.17,0.17173249284490916
101,0.17,0.17111066983730763
102,0.171,0.17109252804136277
103,0.17,0.1715127934632734
104,0.17,0.17111968753848467
105,0.171,0.17104293208146287
106,0.171,0.171544564474095
107,0.17,0.17165112587418765
108,0.17,0.17123086045227703
109,0.17,0.17100410843721497
110,0.17,0.1708929355234226
111,0.171,0.1709317591676705
112,0.171,0.1715833881183429
113,0.171,0.17168289688500926
114,0.172,0.17176229878798002
115,0.172,0.17243175268773073
116,0.172,0.1725879100477233
117,0.17,0.17275573155484186
118,0.171,0.1715656116350402
119,0.17,0.17177784182244105
120,0.172,0.17127552805161073
121,0.17,0.1723075255436691
