Time_Index,Actual_T_30cm,Predicted_T_30cm
164,19.299997,20.042868
165,19.399998,20.014585
166,19.399998,19.981318
167,19.5,19.952457
168,19.6,19.928259
169,19.6,19.912598
170,19.7,19.903059
171,19.7,19.902088
172,19.7,19.909502
173,19.7,19.91999
174,19.7,19.937614
175,19.399998,19.960718
176,19.399998,19.986168
177,19.399998,20.016119
178,19.299997,20.047188
179,19.299997,20.076248
180,19.199999,20.102552
181,19.099998,20.124596
182,19.099998,20.131842
183,19.6,20.129314
184,19.099998,20.122074
185,18.999998,20.108065
186,18.999998,20.092106
187,18.9,20.070326
188,18.9,20.042368
189,18.9,20.01285
190,19.7,20.010258
191,18.9,19.996616
192,18.999998,19.973007
193,19.099998,19.945398
194,19.299997,19.91177
195,19.399998,19.876896
196,19.5,19.843939
197,19.6,19.85476
198,18.999998,19.847847
199,18.299997,19.836182
200,18.399998,19.827755
201,19.299997,19.831467
202,19.199999,19.846987
203,19.099998,19.872454
204,18.999998,19.907217
205,18.7,19.913225
206,18.6,19.870504
207,18.5,19.808
208,18.399998,19.785746
209,18.299997,19.781914
210,18.299997,19.78334
211,18.9,19.783003
212,18.5,19.765308
213,18.6,19.734245
214,18.7,19.691624
215,18.8,19.642742
216,18.9,19.587816
217,19.6,19.533052
218,19.5,19.51308
219,19.399998,19.492838
220,19.6,19.478464
221,18.999998,19.470695
222,18.999998,19.476225
223,18.6,19.491539
224,18.5,19.545153
225,18.399998,19.60999
226,18.299997,19.671373
227,18.299997,19.736702
228,18.199999,19.770477
229,18.299997,19.78699
230,18.299997,19.771544
231,18.399998,19.733389
232,18.6,19.677664
233,18.7,19.613323
234,18.8,19.549696
235,18.999998,19.48582
236,18.999998,19.43232
237,19.099998,19.387833
238,18.7,19.356594
239,18.7,19.34523
240,18.9,19.349798
241,18.999998,19.367764
242,18.999998,19.399961
243,18.999998,19.440329
244,18.999998,19.48593
245,18.9,19.51003
246,18.8,19.520233
247,18.999998,19.531937
248,17.999998,19.546608
249,17.9,19.564604
250,17.8,19.583334
251,17.8,19.60091
252,17.8,19.613735
253,17.8,19.616346
254,17.9,19.625025
255,18.099998,19.582508
256,17.999998,19.510422
257,18.299997,19.424267
258,18.399998,19.335999
259,18.6,19.252548
260,18.8,19.177538
261,18.9,19.117382
262,18.999998,19.077017
263,18.099998,19.046719
264,18.199999,19.039257
265,18.399998,19.048916
266,18.5,19.07748
267,18.6,19.124666
268,18.5,19.183187
269,19.099998,19.249825
270,18.5,19.268427
271,18.199999,19.259418
272,18.099998,19.246973
273,17.999998,19.239454
274,17.9,19.240938
275,17.8,19.242453
276,17.8,19.280642
277,17.8,19.303848
278,17.9,19.293325
279,17.999998,19.264715
280,18.099998,19.22164
281,18.199999,19.168724
282,18.399998,19.109123
283,18.6,19.05037
284,18.7,18.99602
285,18.8,18.952934
286,18.8,18.923714
287,18.299997,18.910208
288,18.399998,18.910002
289,18.5,18.927565
290,18.5,18.96377
291,18.6,19.012583
292,18.6,19.070162
293,18.6,19.12837
294,18.199999,19.158869
295,18.299997,19.174644
296,18.299997,19.188515
297,18.299997,19.20025
298,18.299997,19.215197
299,18.299997,19.231716
300,18.299997,19.24613
301,18.299997,19.238516
302,18.299997,19.22413
303,18.299997,19.20753
304,18.299997,19.191584
305,18.399998,19.177567
306,18.399998,19.165846
307,18.399998,19.156078
308,18.9,19.147985
309,18.8,19.14093
310,18.8,19.134682
311,18.8,19.128904
312,18.7,19.12914
313,18.6,19.131954
314,18.6,19.136778
315,18.5,19.168709
316,18.9,19.20497
317,18.9,19.241472
318,18.9,19.27922
319,17.199999,19.308115
320,17.199999,19.324564
321,17.199999,19.333324
322,17.199999,19.332228
323,17.199999,19.344975
324,17.199999,19.364613
325,17.199999,19.38757
326,17.099998,19.320517
327,17.199999,19.209602
328,17.299997,19.082224
329,17.399998,18.95243
330,17.299997,18.830772
331,18.299997,18.72199
332,18.199999,18.62758
333,18.199999,18.541801
334,18.099998,18.473618
335,18.099998,18.424335
336,17.999998,18.392767
337,17.9,18.3672
338,17.8,18.402426
339,17.7,18.459887
340,17.6,18.526436
341,17.5,18.586693
342,18.199999,18.636795
343,16.999998,18.672543
344,16.999998,18.693634
345,16.9,18.699348
346,16.8,18.691807
347,16.5,18.670912
348,16.399998,18.639719
349,16.299997,18.64619
350,16.1,18.608784
351,16.0,18.547596
352,15.800001,18.471912
353,16.7,18.385849
354,15.399999,18.284176
355,15.5,18.17591
356,15.600001,18.065138
357,15.700001,17.949873
358,15.700001,17.833544
359,15.800001,17.709438
360,15.800001,17.641586
361,15.800001,17.533075
362,15.399999,17.411224
363,15.399999,17.295069
364,15.399999,17.194485
365,15.5,17.110044
366,15.600001,17.044615
367,15.800001,16.991386
368,15.700001,16.948273
369,15.5,16.895533
370,15.399999,16.842527
371,15.299999,16.791937
372,15.199999,16.750568
373,15.0,16.719034
374,14.900001,16.705242
375,15.600001,16.693405
376,14.800001,16.670385
377,14.600001,16.63772
378,14.399999,16.597382
379,14.5,16.549707
380,14.299999,16.487719
381,14.299999,16.417204
382,14.399999,16.388746
383,14.5,16.338099
384,14.600001,16.263943
385,14.800001,16.173252
386,14.900001,16.084084
387,15.199999,15.987634
388,15.299999,15.893742
389,15.299999,15.813987
390,15.099999,15.750976
391,14.600001,15.706994
392,14.399999,15.688144
393,14.2,15.691288
394,14.099999,15.719065
395,13.900001,15.764117
396,13.900001,15.814653
397,13.800001,15.853853
398,13.900001,15.843493
399,13.900001,15.796733
400,14.0,15.723247
401,14.2,15.635151
402,14.299999,15.536866
403,14.399999,15.439931
404,14.600001,15.34558
405,14.700002,15.264104
406,14.800001,15.193576
407,15.0,15.146688
408,15.099999,15.125768
409,15.199999,15.125956
410,15.299999,15.142282
411,15.299999,15.1783495
412,14.800001,15.227131
413,14.900001,15.286948
414,14.900001,15.360581
415,14.5,15.442095
416,14.399999,15.527374
417,14.399999,15.61565
418,14.399999,15.698088
419,15.299999,15.730576
420,15.199999,15.741099
421,15.0,15.741602
422,14.800001,15.710136
423,14.600001,15.658872
424,14.399999,15.605578
425,14.5,15.555448
426,14.5,15.558779
427,14.600001,15.586681
428,14.700002,15.616328
429,14.800001,15.632927
430,14.900001,15.631333
431,14.900001,15.610456
432,14.700002,15.584737
433,15.5,15.557601
434,15.600001,15.536812
435,15.700001,15.525464
436,15.0,15.526424
437,15.0,15.53962
438,15.0,15.557963
439,14.900001,15.565028
440,14.800001,15.607721
441,14.800001,15.672478
442,14.800001,15.752986
443,14.900001,15.807668
444,15.0,15.840598
445,15.199999,15.858363
446,15.399999,15.851072
447,15.600001,15.826822
448,16.0,15.796126
449,16.1,15.765395
450,16.2,15.74072
451,15.0,15.729688
452,15.099999,15.7388935
453,15.800001,15.770664
454,15.299999,15.824669
455,15.199999,15.909087
456,15.700001,16.010143
457,15.700001,16.120644
458,15.600001,16.163559
459,15.700001,16.169024
460,15.399999,16.189388
461,15.5,16.191454
462,15.5,16.178072
463,16.6,16.184885
464,16.6,16.199581
465,16.399998,16.214304
466,16.299997,16.233244
467,16.1,16.239798
468,15.900001,16.242592
469,15.600001,16.243427
470,15.399999,16.304848
471,15.399999,16.39715
472,15.299999,16.492039
473,15.399999,16.57877
474,15.399999,16.642885
475,15.5,16.678053
476,15.700001,16.676615
477,15.600001,16.643047
478,15.600001,16.593763
479,15.800001,16.532658
480,15.700001,16.47577
481,15.900001,16.425455
482,16.0,16.392183
483,16.1,16.379642
484,16.1,16.368496
485,16.2,16.362602
486,16.2,16.369879
487,17.199999,16.37607
488,17.099998,16.393787
489,16.999998,16.422794
490,16.9,16.460781
491,16.7,16.503496
492,16.5,16.549976
493,16.299997,16.595654
494,16.1,16.692822
495,16.0,16.809286
496,15.900001,16.925144
497,15.900001,17.027239
498,15.900001,17.104342
499,16.0,17.151367
500,16.0,17.168201
501,16.1,17.155436
502,16.2,17.121935
503,16.299997,17.074377
504,16.299997,17.022644
505,16.399998,16.972208
506,16.5,16.929668
507,16.5,16.894026
508,16.6,16.871128
509,16.6,16.862183
510,16.6,16.866762
511,15.900001,16.87907
512,16.0,16.899124
513,16.1,16.928623
514,16.2,16.960966
515,16.299997,16.998112
516,16.399998,17.034678
517,16.6,17.068443
518,16.7,17.05862
519,15.900001,17.034407
520,15.900001,17.010374
521,16.0,16.99452
522,16.1,16.990736
523,16.6,16.999268
524,16.6,17.025526
525,16.6,17.065107
526,16.5,17.064476
527,16.299997,17.041756
528,16.2,17.013699
529,16.8,16.990236
530,16.9,16.998356
531,16.999998,17.023943
532,17.099998,17.05682
533,17.199999,17.085888
534,17.199999,17.099413
535,16.5,17.098135
536,16.6,17.119955
537,16.6,17.158298
538,16.399998,17.208761
539,16.299997,17.267725
540,16.2,17.333635
541,16.1,17.398754
542,16.2,17.423464
543,16.2,17.429081
544,16.1,17.4242
545,15.900001,17.402876
546,15.800001,17.368689
547,15.600001,17.325006
548,15.399999,17.27306
549,15.299999,17.222706
550,15.199999,17.180243
551,15.199999,17.13842
552,15.199999,17.088469
553,15.299999,17.034016
554,15.399999,16.967564
555,15.5,16.888535
556,15.700001,16.801775
557,15.800001,16.710863
558,16.0,16.623371
559,16.2,16.543703
560,16.2,16.476995
561,16.1,16.42785
562,16.0,16.395748
563,15.900001,16.386116
564,15.800001,16.394516
565,15.700001,16.42319
566,15.600001,16.471237
567,15.399999,16.52472
568,15.299999,16.573112
569,15.199999,16.61002
570,15.0,16.633028
571,14.900001,16.641323
572,15.900001,16.635653
573,16.0,16.616528
574,14.900001,16.580626
575,14.900001,16.532898
576,14.900001,16.476688
577,15.0,16.40841
578,15.199999,16.333347
579,15.299999,16.314026
580,15.5,16.333523
581,15.700001,16.314213
582,15.800001,16.273394
583,15.700001,16.219584
584,16.0,16.16785
585,15.900001,16.132072
586,15.700001,16.112442
587,15.700001,16.114397
588,15.700001,16.138693
589,15.700001,16.179445
590,15.700001,16.215422
591,15.600001,16.267086
592,15.600001,16.318237
593,15.5,16.352139
594,15.5,16.374598
595,15.900001,16.390257
596,15.5,16.40194
597,15.600001,16.41154
598,15.600001,16.414465
599,15.600001,16.413708
600,15.600001,16.405926
601,15.700001,16.395298
602,15.700001,16.408365
603,15.800001,16.406076
604,15.800001,16.402567
605,15.900001,16.402418
606,15.600001,16.40155
607,15.700001,16.400335
608,15.600001,16.404303
609,15.600001,16.410389
610,15.5,16.422983
611,15.299999,16.438953
612,15.299999,16.46099
613,15.199999,16.466759
614,15.099999,16.467627
615,15.0,16.46018
616,14.900001,16.450077
617,14.800001,16.43463
618,15.399999,16.405375
619,15.199999,16.37151
620,15.199999,16.332588
621,15.099999,16.287294
622,15.099999,16.2362
623,15.0,16.179203
624,14.900001,16.11738
625,14.700002,16.090014
626,14.700002,16.066978
627,14.600001,16.050919
628,14.600001,16.033022
629,14.600001,16.015497
630,14.700002,15.993497
631,15.099999,15.96476
632,15.099999,15.921864
633,15.199999,15.874556
634,15.0,15.821181
635,14.900001,15.77128
636,14.600001,15.7252
637,15.199999,15.692682
638,15.099999,15.680463
639,15.099999,15.68314
640,15.0,15.698086
641,15.0,15.711109
642,14.900001,15.716858
643,14.900001,15.700098
644,14.800001,15.71089
645,14.800001,15.729727
646,14.700002,15.750838
647,14.700002,15.76582
648,14.600001,15.77681
649,14.600001,15.775604
650,14.5,15.770083
651,14.5,15.756765
652,14.5,15.739868
653,14.600001,15.71682
654,14.800001,15.691985
655,15.0,15.662626
656,15.0,15.630605
657,15.099999,15.5927105
658,15.099999,15.553985
659,14.900001,15.517074
660,14.900001,15.489824
661,14.800001,15.480317
662,15.099999,15.490086
663,15.199999,15.512613
664,15.199999,15.54581
665,15.199999,15.584452
666,15.099999,15.610629
667,15.0,15.628298
668,14.800001,15.631779
669,15.0,15.64731
670,14.900001,15.673838
671,14.900001,15.705294
672,14.800001,15.737652
673,14.800001,15.761436
674,14.800001,15.772784
675,14.800001,15.7662945
676,14.800001,15.761583
677,15.0,15.753141
678,15.199999,15.742893
679,15.0,15.727726
680,14.2,15.710574
681,14.299999,15.693905
682,14.299999,15.678387
683,14.299999,15.664618
684,14.299999,15.663416
685,14.299999,15.681827
686,14.299999,15.697038
687,14.299999,15.660046
688,14.399999,15.602537
689,14.399999,15.537873
690,15.099999,15.4750595
691,14.5,15.417433
692,14.600001,15.367683
693,14.600001,15.323595
694,14.700002,15.286214
695,14.800001,15.261065
696,14.800001,15.244247
697,14.900001,15.277795
698,14.900001,15.297894
699,15.0,15.314458
700,15.0,15.326899
701,15.0,15.343005
702,14.5,15.367226
703,13.2,15.39482
704,13.099999,15.427556
705,13.099999,15.460738
706,13.0,15.497575
707,13.0,15.533921
708,13.0,15.56688
709,13.0,15.56332
710,13.0,15.463699
711,13.099999,15.312238
712,13.2,15.139725
713,13.2,14.96245
714,13.299999,14.795214
715,13.299999,14.645193
716,13.299999,14.514875
717,13.299999,14.4013815
718,13.399999,14.310496
719,13.7,14.243248
720,14.2,14.193518
721,14.099999,14.157029
722,14.099999,14.133909
723,14.0,14.116849
724,13.900001,14.112816
725,13.800001,14.119904
726,13.5,14.149002
727,13.299999,14.219902
728,13.2,14.302552
729,13.2,14.383243
730,13.099999,14.45092
731,13.0,14.500986
732,13.0,14.532046
733,12.900001,14.534638
734,12.800001,14.505162
735,12.800001,14.45286
736,12.7,14.39263
737,12.600001,14.323262
738,12.600001,14.249052
739,12.5,14.177404
740,12.5,14.10684
741,12.5,14.034888
742,12.600001,13.967721
743,12.7,13.901907
744,12.800001,13.836203
745,12.900001,13.7721405
746,13.0,13.707696
747,13.099999,13.647022
748,13.099999,13.591131
749,13.2,13.544217
750,12.5,13.510927
751,13.2,13.492475
752,13.2,13.491068
753,13.2,13.504826
754,13.2,13.532279
755,13.2,13.56296
756,13.099999,13.59955
757,13.099999,13.602524
758,13.099999,13.62069
759,13.099999,13.646528
760,13.0,13.674042
761,13.0,13.701351
762,13.0,13.728049
763,12.900001,13.747149
764,12.900001,13.761395
765,13.0,13.772164
766,13.0,13.7803545
767,13.099999,13.778561
768,13.2,13.77235
769,13.399999,13.76401
770,13.5,13.74824
771,13.7,13.729368
772,13.900001,13.7162
773,14.0,13.706735
774,13.800001,13.706246
775,13.800001,13.717284
776,13.900001,13.744645
777,13.900001,13.78648
778,14.0,13.845958
779,14.0,13.923851
780,14.0,14.012533
781,13.399999,14.0920925
782,13.399999,14.155675
783,13.399999,14.213447
784,13.399999,14.264315
785,13.5,14.314283
786,13.600001,14.361036
787,13.600001,14.403583
788,13.7,14.406609
789,13.7,14.387678
790,13.399999,14.3580885
791,13.5,14.325306
792,13.800001,14.297892
793,13.600001,14.281617
794,14.099999,14.27297
795,13.900001,14.274738
796,14.299999,14.282075
797,14.299999,14.275512
798,14.2,14.266986
799,14.099999,14.273898
800,14.2,14.277156
801,14.2,14.30763
802,14.299999,14.339289
803,14.299999,14.391628
804,14.299999,14.454004
805,14.600001,14.512396
806,14.600001,14.556555
807,14.399999,14.596131
808,14.299999,14.6308975
809,14.099999,14.666771
810,14.0,14.701615
811,14.700002,14.733979
812,13.800001,14.783768
813,13.7,14.838544
814,13.7,14.881295
815,13.7,14.908731
816,13.7,14.913642
817,14.0,14.899925
818,14.0,14.916514
819,13.900001,14.898565
820,13.900001,14.856488
821,13.800001,14.80482
822,13.800001,14.750185
823,14.700002,14.696816
824,14.700002,14.666735
825,14.700002,14.650019
826,14.5,14.637234
827,14.600001,14.62524
828,14.600001,14.609504
829,14.700002,14.5926285
830,14.2,14.626209
831,14.299999,14.686297
832,14.299999,14.758503
833,14.2,14.820082
834,14.2,14.877609
835,14.099999,14.928965
836,14.099999,14.978569
837,14.099999,14.998582
838,14.099999,15.00782
839,14.099999,15.010286
840,14.2,15.003671
841,14.2,14.992871
842,14.299999,14.97152
843,14.399999,14.950766
844,14.399999,14.930096
845,14.5,14.910748
846,14.099999,14.89385
847,13.0,14.884596
848,13.099999,14.879325
849,13.099999,14.883046
850,13.2,14.897006
851,13.299999,14.912956
852,13.399999,14.934579
853,13.399999,14.937797
854,13.5,14.859636
855,13.600001,14.750189
856,13.7,14.63031
857,13.800001,14.520229
858,13.900001,14.427928
859,14.0,14.358251
860,13.099999,14.305988
861,14.099999,14.276684
862,14.2,14.266172
863,13.099999,14.273251
864,13.2,14.294582
865,13.099999,14.326656
866,13.5,14.36851
867,13.5,14.355286
868,13.399999,14.374717
869,13.399999,14.416747
870,13.299999,14.401006
871,13.299999,14.359195
872,13.299999,14.300364
873,13.399999,14.2575
874,13.399999,14.227046
875,13.399999,14.200648
876,13.399999,14.178185
877,13.399999,14.157583
878,13.399999,14.136771
879,13.5,14.115008
880,13.5,14.100236
881,13.5,14.090682
882,13.5,14.084816
883,13.399999,14.080888
884,13.399999,14.078827
885,13.399999,14.07723
886,13.399999,14.085018
887,13.399999,14.097613
888,13.399999,14.110635
889,13.5,14.120332
890,13.399999,14.120131
891,13.5,14.116986
892,13.5,14.108659
893,13.5,14.099101
894,13.5,14.094204
895,12.600001,14.089771
896,12.7,14.092917
897,12.7,14.092921
898,12.7,14.103773
899,12.600001,14.117356
900,12.600001,14.130956
901,12.5,14.142512
902,12.5,14.091041
903,12.7,14.013477
904,12.5,13.927756
905,12.600001,13.844701
906,12.5,13.763536
907,12.800001,13.689205
908,12.800001,13.6203375
909,12.900001,13.5585985
910,13.0,13.515307
911,13.099999,13.473279
912,13.099999,13.439567
913,13.2,13.406795
914,13.2,13.394337
915,13.299999,13.39509
916,13.399999,13.408832
917,12.800001,13.434464
918,12.800001,13.469957
919,12.600001,13.508595
920,12.600001,13.55437
921,12.5,13.601207
922,12.399999,13.650724
923,12.600001,13.704399
924,12.7,13.7161455
925,12.7,13.704535
926,12.7,13.667678
927,12.7,13.614968
928,12.800001,13.553688
929,12.5,13.487382
930,12.5,13.440307
931,12.399999,13.411865
932,12.399999,13.395511
933,12.399999,13.386601
934,12.299999,13.380565
935,12.299999,13.383756
936,12.299999,13.371116
937,12.399999,13.35084
938,12.7,13.31908
939,12.800001,13.2821865
940,12.800001,13.245441
941,12.800001,13.205747
942,12.600001,13.167244
943,12.099999,13.132397
944,12.099999,13.107682
945,12.099999,13.109263
946,12.099999,13.129522
947,12.099999,13.158601
948,12.099999,13.192049
949,12.099999,13.21879
950,12.099999,13.198791
951,12.2,13.154647
952,12.900001,13.100412
953,12.900001,13.0456295
954,12.900001,12.994144
955,12.900001,12.950084
956,12.800001,12.915643
957,12.800001,12.888581
958,12.7,12.874002
959,12.7,12.907432
960,12.600001,12.966422
961,12.600001,13.034691
962,12.5,13.102762
963,12.399999,13.160067
964,12.299999,13.207027
965,12.2,13.239241
966,12.2,13.26083
967,11.399999,13.269272
968,11.7,13.269708
969,11.600002,13.259367
970,11.600002,13.238176
971,11.5,13.207159
972,11.399999,13.166271
973,11.299999,13.123677
974,11.2,13.028298
975,11.2,12.932161
976,11.2,12.834244
977,11.2,12.742822
978,11.299999,12.655391
979,11.399999,12.570611
980,11.5,12.485224
981,11.5,12.3989
982,11.2,12.315469
983,11.800001,12.237325
984,11.600002,12.168972
985,11.600002,12.116582
986,11.600002,12.082484
987,11.800001,12.067096
988,11.900001,12.062687
989,11.900001,12.048983
990,12.0,12.069277
991,11.600002,12.086232
992,11.5,12.100409
993,11.399999,12.112475
994,11.399999,12.142815
995,11.2,12.18705
996,11.1,12.235422
997,11.1,12.287826
998,11.0,12.307678
999,11.0,12.30042
1000,10.900001,12.274443
1001,10.800001,12.239715
1002,10.800001,12.187718
1003,10.800001,12.125231
1004,10.7,12.062148
1005,11.299999,11.998762
1006,10.7,11.939549
1007,10.7,11.881187
1008,10.7,11.820932
1009,10.800001,11.76216
1010,10.800001,11.7076435
1011,10.800001,11.653132
1012,10.800001,11.643365
1013,10.800001,11.615677
1014,10.7,11.577202
1015,11.600002,11.537265
1016,11.5,11.505039
1017,11.5,11.477094
1018,11.399999,11.452928
1019,11.299999,11.432216
1020,11.2,11.414932
1021,11.0,11.398524
1022,10.900001,11.422048
1023,10.800001,11.468034
1024,10.800001,11.527023
1025,10.800001,11.58367
1026,10.800001,11.629772
1027,10.800001,11.660356
1028,10.800001,11.667914
1029,10.900001,11.655267
1030,10.900001,11.622773
1031,10.900001,11.582285
1032,10.900001,11.541033
1033,10.900001,11.50559
1034,10.800001,11.478955
1035,10.800001,11.458597
1036,10.800001,11.446642
1037,10.800001,11.44298
1038,10.800001,11.442438
1039,11.299999,11.4428425
1040,11.299999,11.442906
1041,11.299999,11.439724
1042,11.299999,11.42918
1043,11.299999,11.420143
1044,11.399999,11.412933
1045,11.399999,11.412026
1046,11.5,11.43565
1047,11.5,11.474041
1048,11.5,11.51771
1049,11.600002,11.561085
1050,11.299999,11.599824
1051,11.2,11.639093
1052,11.299999,11.675969
1053,11.800001,11.714744
1054,11.7,11.7522135
1055,11.7,11.786758
1056,11.600002,11.823377
1057,11.600002,11.842584
1058,11.5,11.844259
1059,11.399999,11.840268
1060,11.399999,11.865488
1061,11.299999,11.900915
1062,11.2,11.939805
1063,11.800001,11.971855
1064,11.800001,11.9973135
1065,11.800001,12.012065
1066,11.800001,12.013348
1067,11.800001,12.006988
1068,11.800001,11.990829
1069,11.800001,11.96387
1070,11.800001,11.969137
1071,11.800001,11.994173
1072,11.800001,12.028581
1073,11.800001,12.064964
1074,11.800001,12.099603
1075,11.800001,12.130609
1076,11.7,12.157628
1077,12.5,12.180275
1078,12.399999,12.199194
1079,12.399999,12.214853
1080,12.299999,12.227484
1081,12.099999,12.238909
1082,12.0,12.24744
1083,11.900001,12.249155
1084,11.800001,12.293508
1085,11.800001,12.355632
1086,12.299999,12.424413
1087,12.5,12.485973
1088,11.800001,12.526832
1089,11.900001,12.547261
1090,11.900001,12.548077
1091,11.800001,12.5313225
1092,11.800001,12.506208
1093,11.900001,12.5094595
1094,11.7,12.539832
1095,11.7,12.543658
1096,11.7,12.53823
1097,11.7,12.528071
1098,11.800001,12.51019
1099,12.0,12.489619
1100,12.099999,12.475697
1101,12.399999,12.453818
1102,12.399999,12.428825
1103,12.399999,12.404477
1104,12.299999,12.382078
1105,12.0,12.3681755
1106,12.299999,12.372003
1107,12.2,12.391677
1108,12.099999,12.431985
1109,12.2,12.482983
1110,11.800001,12.535923
1111,10.900001,12.579346
1112,11.7,12.598566
1113,11.600002,12.61838
1114,11.600002,12.634202
1115,11.0,12.641019
1116,10.900001,12.648194
1117,10.900001,12.629196
1118,10.900001,12.540882
1119,10.900001,12.474434
1120,10.900001,12.417476
1121,11.0,12.3703375
1122,10.900001,12.28986
1123,11.1,12.193728
1124,11.1,12.093793
1125,11.2,11.999136
1126,11.299999,11.913437
1127,11.399999,11.839259
1128,11.399999,11.780056
1129,11.5,11.730103
1130,11.0,11.699587
1131,11.5,11.68112
1132,11.600002,11.678022
1133,11.5,11.689855
1134,11.0,11.714558
1135,10.399999,11.7444935
1136,10.399999,11.78167
1137,10.399999,11.785188
1138,10.5,11.803403
1139,10.5,11.834848
1140,10.399999,11.865217
1141,10.5,11.857775
1142,10.399999,11.792245
1143,10.6,11.695625
1144,10.5,11.587877
1145,10.7,11.488579
1146,10.7,11.403613
1147,10.800001,11.329099
1148,10.800001,11.27112
1149,10.900001,11.220338
1150,10.900001,11.188853
1151,10.6,11.16412
1152,10.5,11.158885
1153,10.6,11.16443
1154,10.5,11.179989
1155,10.5,11.201349
1156,10.5,11.229734
1157,10.6,11.259596
1158,10.5,11.26878
1159,10.6,11.257015
1160,10.6,11.242983
1161,10.6,11.221744
1162,10.6,11.193175
1163,10.6,11.16372
1164,10.6,11.140181
1165,10.6,11.118032
1166,10.6,11.106181
1167,10.6,11.0982485
1168,10.6,11.093543
1169,10.6,11.091054
1170,10.6,11.09033
1171,10.6,11.091848
1172,10.6,11.094392
1173,10.7,11.099343
1174,10.7,11.10259
1175,10.7,11.105133
1176,10.7,11.106917
1177,10.7,11.105664
1178,10.800001,11.101397
1179,10.800001,11.095797
1180,10.800001,11.096909
1181,10.800001,11.102084
1182,10.6,11.110334
